HASHTAG,ORIENTATION
Eleicoes2022,N
Lula,L
LulaNo1ºTurno,L
TeimaLula,L
13DiasParaVotar13,L
lula,L
Brasil,N
LulaNoFlow,L
bolsonaro,R
LulaPresidente1️⃣3️⃣,L
Bolsonaro,R
BolsonaroNoPrimeiroTurno22,R
SuperLiveBolsonaro22,R
BrazilWasStolen,R
LulaPresidente2022,L
BrazilianSpring,N
bolsonarocorrupto,L
ForaBolsonaro,L
Eleições2022,N
EsseÉMeuVoto,L
Lula13,L
LulaPresidente13,L
BolsonaroReeleitoEm2022,R
LulaPresidente1⃣3️⃣,L
LulaPresidente,L
SOSFFAA,R
VamosJuntosPeloBrasil,L
Eleicao2022,N
lula2022,L
BrasilNasRuas,R
BolsonaroReeleito2️⃣2️⃣,R
BolsonaroReeleito,R
DebateNoSBT,N
LulaNo1oturno,L
BolsonaroPresidente22,R
SOCORROFFAA,R
brasil,N
LulaPresidente20221️⃣3️⃣,L
Bolsonaro22,R
EleNao,L
DEIXEM_O_NORDESTE_VOTAR,L
politics,N
LulaNoPrimeiroTurno,L
eleicoes2022,N
HaddadNoRodaViva,L
LulaPresidente1⃣3⃣,L
Brazil,N
EsseEMeuVoto,L
LULA,L
DEIXEMONORDESTEVOTAR,L
LulaNoSegundoTurno,L
Bolsonaro2022,R
Acorda,N
PTNuncaMais,L
BRAZIL,N
TimeDoLula,L
EleccionesBrasil2022,N
CiroPresidente12,N
GostosasComLula,L
LIBERDADE,N
Vote13,L
elecciones,N
ForaBolsonaroeSuaQuadrilha,L
lulanoprimeiroturno,L
fraude,R
Bolsonaronoprimeiroturno,R
Política,N
BolsonaroReeleitoNoPrimeiroTurno,R
BolsonaroReeleito2022,R
Lula13Presidente,L
LulaNuncaMais,R
CensuraNao,R
BrasilDaEsperança,L
bolsonaropresidente,R
lulanoflow,L
SuperLiveBolsonaro,R
BolsonaroNoPrimeiroTurno,R
JairBolsonaro22,R
eleicoes,N
LulaLadrao,R
13livrosvermelhos,L
investigação,N
SuperLiveComBolsonaro,R
esquerda,L
nikolasferreira,R
Ciro,N
contagemregressiva,N
BRASIL,N
Bolsolao, L
lulapresidente,L
EsseEoMeuVoto,L
EleccionesBrasil,N
ForaLula,R
PrefiroCiro12,N
LulaNaPortela,L
CordelDaContagemRegressiva,L
CiroGomes,N
OrçamentoSecreto,L
debatedaBand,N
brazilwasstolen,R
